clf,train_number,k,classes,accuracy
SVM,3,150,3,0.8888888888888888
SVM,3,110,3,0.8888888888888888
SVM,3,110,3,0.7777777777777778
SVM,4,150,2,0.46153846153846156
SVM,4,150,3,0.46153846153846156
SVM,4,150,3,0.46153846153846156
SVM,4,150,3,0.5
SVM,4,400,3,0.5
SVM,4,400,3,0.5
SVM,4,400,3,0.5
SVM,5,400,2,1.0
SVM,5,400,2,0.9
SVM,5,500,2,0.9
SVM,5,500,2,0.9
SVM,4,500,3,0.5
SVM,4,500,3,0.6666666666666666
SVM,4,500,3,0.6935483870967742
SVM,4,1500,3,0.7258064516129032
SVM,4,2000,3,0.7096774193548387
SVM,4,2000,3,0.5333333333333333
SVM,4,2000,4,0.5333333333333333
SVM,5,2000,4,0.6666666666666666
SVM,4,2000,4,0.5333333333333333
