id_train, testDataset,k,LinearSVC, NuSVC05, NuSVC02, NuSVC005, SVC, KNN
TRAIN4, False, 50, 0.75, 0.65, 0.55, 0.6, 0.6, 0.5
TRAIN4, False, 100, 0.6, 0.65, 0.7, 0.55, 0.55, 0.5
TRAIN4, False, 500, 0.8, 0.65, 0.75, 0.7, 0.6, 0.55
TRAIN4, False, 1000, 0.75, 0.7, 0.7, 0.65, 0.6, 0.45
TRAIN4, False, 2000, 0.8, 0.65, 0.65, 0.65, 0.55, 0.55
TRAIN4, False, 3000, 0.65, 0.65, 0.65, 0.65, 0.55, 0.45
TRAIN4, False, 4000, 0.65, 0.55, 0.6, 0.5, 0.5, 0.5
TRAIN4, False, 5000, 0.7, 0.65, 0.6, 0.6, 0.6, 0.6
TRAIN4, False, 6000, 0.4, 0.3, 0.3, 0.35, 0.4, 0.25
TRAIN4, False, 7000, 0.75, 0.65, 0.6, 0.6, 0.6, 0.65
TRAIN4, False, 6000, 0.4, 0.3, 0.3, 0.35, 0.4, 0.25
TRAIN4, False, 8000, 0.75, 0.75, 0.7, 0.65, 0.55, 0.65
TRAIN4, False, 6000, 0.4, 0.3, 0.3, 0.35, 0.4, 0.25
